,equal_weight,spy,struct_A,struct_B,struct_C
2025-10-10,109980.43802526845,112674.80687163025,112828.59641772775,119721.32143210249,117323.82512036718
2025-10-13,111002.30487392849,114403.69752431141,113876.92650560783,120833.69424717648,118413.92195577845
2025-10-14,110982.90744877876,114263.93569769761,113857.02674622282,120812.57880689453,118393.22936574231
2025-10-15,111432.78522567198,114771.22367961034,114318.55498740629,121302.30191492777,118873.14545418008
2025-10-16,111183.37409245764,113989.60174551891,114062.68486543912,121030.80062811312,118607.08115491271
2025-10-17,111502.5878912603,114636.64096281878,114390.1653294449,121378.28694930085,118947.60883946445
2025-10-20,112765.26955477236,115828.91652704783,115685.54660246489,122752.80336347458,120294.59968013146
2025-10-21,112737.51943640695,115827.17956588045,115657.07784054856,122722.59543831756,120264.99668806641
2025-10-22,112479.99286147198,115225.01537581327,115392.8821116363,122442.25993130663,119990.27507953295
2025-10-23,112803.84572639162,115908.2871794155,115725.12177944292,122794.79619715459,120335.7515803615
2025-10-24,113272.38433006946,116855.55589800524,116205.794105992,123304.83290715,120835.57447784267
2025-10-27,114153.95715605328,118234.1840947949,117110.19698328288,124264.48596509807,121776.00986729648
2025-10-28,114000.66209535727,118548.21396438406,116952.93204738467,124097.61367794347,121612.4793048088
2025-10-29,113823.10824432079,118605.15239874869,116770.78009235785,123904.33401791373,121423.07019403888
2025-10-30,113543.91480722306,117300.71574450447,116484.3563955406,123600.41263130467,121125.2350282862
2025-10-31,113765.96951224766,117685.49500798422,116712.16164114366,123842.13455197617,121362.11631233305
2025-11-03,113850.24463331308,117906.35385690643,116798.61923117944,123933.87385615574,121452.01847805825
2025-11-04,113201.21620389546,116508.74618199523,116132.78294209712,123227.36147438992,120759.65446025315
2025-11-05,113386.53003282195,116912.4943323699,116322.8958348078,123429.08840762531,120957.34168216039
2025-11-06,113193.16570850559,115658.10122395397,116124.52396339495,123218.59795277132,120751.06643378033
2025-11-07,113177.43921135228,115771.9675014566,116108.3901978614,123201.47857177503,120734.28987937755
2025-11-10,114132.54084168578,117578.52361901796,117088.22605159799,124241.17282412208,121753.16358693343
2025-11-11,114737.81415596235,117847.67846137442,117709.17410131606,124900.05473361337,122398.85096324568
2025-11-12,114706.60550343496,117913.24874544278,117677.15723973615,124866.08195456483,122365.55851090499
2025-11-13,113699.40553807958,115956.59376407646,116643.8738627694,123769.67505744909,121291.1078656962
2025-11-14,113462.90680514961,115937.62487718153,116401.25053292842,123512.22981235116,121038.81812688748
2025-11-17,112762.16259695805,114857.48922051436,115682.35918390559,122749.42122477932,120291.28527093459
2025-11-18,112436.3590653501,113892.97798497045,115348.1183330843,122394.76152318413,119943.7278575227
2025-11-19,112548.32936885457,114332.96931287409,115462.98832643687,122516.64895096132,120063.17441131813
2025-11-20,111615.56214327006,112590.26770066698,114506.06527051142,121501.2672445357,119068.1263753452
2025-11-21,112485.80224446935,113711.8044622321,115398.84193996039,122448.58384691956,119996.47235467634
2025-11-24,113236.36662820102,115385.47245926276,116168.84365533931,123265.62514493278,120797.15187623161
2025-11-25,113910.28749135883,116470.77663452554,116860.2170163842,123999.23466428547,121516.07039404954
2025-11-26,114663.19653020635,117274.84137784663,117632.62410630567,124818.82828172759,122319.2511231988
2025-11-28,115227.40908300203,117914.97511538354,118211.44804587367,125433.01270945063,122921.13611350689
2025-12-01,114797.41980205284,117376.64424821732,117770.32335210752,124964.93960625888,122462.43647466635
2025-12-02,114796.44887857624,117594.050357258,117769.32728466988,124963.88268883142,122461.40072268882
2025-12-03,115411.90890123839,118001.25124751416,118400.72584749648,125633.85353569071,123117.9549732802
2025-12-04,115478.55458474958,118087.51678841816,118469.09745123694,125706.40197649499,123189.05058498796
2025-12-05,115770.99296037723,118311.82837722183,118769.10909015374,126024.74139572476,123501.01505300308
2025-12-08,115021.78490333553,117956.38681150808,118000.49882619528,125209.17655322066,122701.7824199876
2025-12-09,114476.52679435836,117854.57334991076,117441.12019281375,124615.62534993015,122120.11746054816
2025-12-10,115238.5024305624,118636.21646645546,118222.82867735038,125445.08858633276,122932.97016320283
2025-12-11,115182.71016112827,118912.2767885749,118165.59155805681,125384.35483820189,122873.45264736375
2025-12-12,114368.79566832783,117633.72509221522,117330.59915872102,124498.35256033843,122005.19313384635
2025-12-15,114201.14969044123,117456.00430935834,117158.6116605836,124315.85830621708,121826.35344430828
2025-12-16,113758.24867258396,117135.07955123283,116704.24085524694,123833.72988343964,121353.87995267897
2025-12-17,113385.82236205123,115846.16963522867,116322.16983751937,123428.31805899486,120956.58676025573
2025-12-18,113684.61228662568,116720.96258998707,116628.69751115664,123753.57157901114,121275.32686975089
2025-12-19,114185.98989787519,117778.85667073056,117143.05927556021,124299.3558224006,121810.18143332328
2025-12-22,114580.71898730342,118512.60626045293,117548.01064623219,124729.04576583565,122231.26655981968
2025-12-23,115195.12000335084,119054.26277278103,118178.32277739799,125397.86381067307,122886.69109398966
2025-12-24,115513.97797736937,119473.05046497076,118505.43820184143,125744.96279194727,123226.83919535829
2025-12-26,115592.3245759792,119460.93410170566,118585.81373874572,125830.24848896482,123310.41699154749
2025-12-29,115591.77198931316,119035.21974729972,118585.24684176796,125829.64696011975,123309.82750870367
2025-12-30,115267.23159071205,118889.86575302514,118252.30183525145,125476.3622662572,122963.61756761195
2025-12-31,114445.03230147393,118009.01461663417,117408.8100884821,124581.34141386245,122086.52008230731
